ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
7038378,1800,3,183.0,560.0,269000,6/18/2017,2112.0,32.0,House,Groenstraat  236 1800    Vilvoorde ,Vilvoorde,"Groenstraat 236, 1800 Vilvoorde, Belgium",50.935461,4.4349322
7037125,1800,3,150.0,200.0,249000,6/17/2017,3310.0,35.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7035326,1800,5,160.0,211.0,335000,6/16/2017,2731.0,26.0,House,Warandelaan  301 1800    Vilvoorde ,Vilvoorde,"Warandelaan 301, 1800 Vilvoorde, Belgium",50.9122244,4.3750985
7034732,1800,3,140.0,100.0,249000,6/15/2017,2844.0,19.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7033868,1800,4,230.0,430.0,395000,6/19/2017,561.0,3.0,House,Belgielaan  18 1800    Vilvoorde ,Vilvoorde,"Belgiëlaan 18, 1800 Vilvoorde, Belgium",50.9181326,4.4054568
7031931,1800,3,194.0,194.0,289000,6/14/2017,1341.0,28.0,House,chauss  romaine  64 1800    Koningsloo ,Vilvoorde,"Romeinsesteenweg 64, 1800 Vilvoorde, Belgium",50.9067657,4.3809191
7026734,1800,4,165.0,220.0,330000,6/12/2017,4410.0,7.0,House,Chauss  Romaine  82A 1800    Vilvoorde ,Vilvoorde,"Romeinsesteenweg 64, 1800 Vilvoorde, Belgium",50.9067657,4.3809191
7025871,1800,3,200.0,140.0,365000,6/11/2017,777.0,2.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7024343,1800,3,120.0,200.0,245000,6/9/2017,1572.0,9.0,House,Vredestraat  14 1800    Peutie ,Vilvoorde,"Vredestraat 14, 1800 Vilvoorde, Belgium",50.9269631,4.4570422
7020982,1800,3,95.0,,239000,6/8/2017,174.0,6.0,Apartment,Indringingsweg   1800    Vilvoorde ,Vilvoorde,"Indringingsweg, 1800 Vilvorde, Belgium",50.9071934,4.3847508
7020441,1800,3,187.0,739.0,480000,6/8/2017,1203.0,9.0,House,Beneluxlaan  16 1800    Vilvoorde ,Vilvoorde,"Beneluxlaan 16, 1800 Vilvoorde, Belgium",50.9150768,4.4066365
7018070,1800,3,135.0,100.0,240000,6/7/2017,1701.0,15.0,Apartment,Vilvoordestraat  49 1800     Vilvoorde  Peutie ,Vilvoorde,"Vilvoordestraat 49, 1800 Vilvoorde, Belgium",50.927779,4.452073
7017545,1800,3,140.0,155.0,235000,6/6/2017,2182.0,15.0,House,Vlierkensstraat  34 1800    Vilvoorde ,Vilvoorde,"Vlierkensstraat 34, 1800 Vilvoorde, Belgium",50.9243359,4.4112508
7017496,1800,3,130.0,,145000,6/6/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7017046,1800,3,287.0,450.0,325000,6/6/2017,2188.0,9.0,House,Lindenstraat  158 1800    Peutie ,Vilvoorde,"Lindenstraat 158, 1800 Vilvoorde, Belgium",50.9287002,4.4634017
7014647,1800,3,174.0,,349000,6/3/2017,156.0,3.0,House,Aarschotsestraat  50C14 1800    Peutie ,Vilvoorde,,,
7014220,1800,3,87.0,,198000,6/3/2017,505.0,8.0,Apartment,Kortestraat   1800    Vilvoorde ,Vilvoorde,"Kortestraat, 1800 Vilvoorde, Belgium",50.934441,4.4196795
7012435,1800,3,134.0,,245000,6/2/2017,121.0,0.0,House,Nijverheidstraat  230 1800    Vilvoorde ,Vilvoorde,"Nijverheidsstraat 230, 1800 Vilvoorde, Belgium",50.9350999,4.4391306
7010513,1800,3,155.0,210.0,285000,6/1/2017,1752.0,29.0,House,Borghtvoetweg  12 1800    Vilvoorde ,Vilvoorde,"Borghtvoetweg 12, 1800 Vilvoorde, Belgium",50.9263399,4.4087453
7007692,1800,3,95.0,,244000,5/30/2017,495.0,10.0,Apartment,Leuvensesteenweg  10223 1800    Vilvoorde ,Vilvoorde,"Leuvensesteenweg, 1800 Vilvoorde, Belgium",50.9267973,4.4444847
7007185,1800,4,160.0,110.0,250000,5/30/2017,3152.0,36.0,House,vaartstraat  16 1800    Vilvoorde ,Vilvoorde,"Vaartstraat 16, 1800 Vilvoorde, Belgium",50.9272223,4.4212721
7005103,1800,3,185.0,264.0,384000,5/29/2017,1064.0,10.0,House,Warandelaan  270 1800    Koningsloo ,Vilvoorde,"Warandelaan 270, 1800 Vilvoorde, Belgium",50.9116026,4.3746744
7002776,1800,4,,,248500,5/26/2017,2953.0,26.0,House,Armand  Hertzstraat  22 1800    Vilvoorde ,Vilvoorde,"Armand Hertzstraat 22, 1800 Vilvoorde, Belgium",50.9264098,4.4416324
7002114,1800,3,158.0,424.0,440000,5/25/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6999962,1800,3,153.0,276.0,284000,5/24/2017,277.0,0.0,Apartment,Brusselsesteenweg  62 1800    Vilvoorde ,Vilvoorde,"Brusselsesteenweg 62, 1800 Vilvoorde, Belgium",50.9231283,4.4183586
6999693,1800,5,132.0,79.0,225000,5/23/2017,213.0,1.0,House,Kolveniersstraat  46 1800    Vilvoorde ,Vilvoorde,"Kolveniersstraat 46, 1800 Vilvoorde, Belgium",50.9313964,4.4212026
6997302,1800,3,196.0,276.0,359000,5/22/2017,1996.0,9.0,House,Arendlaan   1800    Vilvoorde ,Vilvoorde,"Arendlaan, 1800 Vilvoorde, Belgium",50.9095808,4.3672041
6994305,1800,4,280.0,215.0,229000,5/19/2017,2004.0,13.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6994302,1800,3,146.0,144.0,279000,5/19/2017,2150.0,44.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
