ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6788208,"1120",2,110,,239000,1/10/2017,101,0,"Apartment","Oorlogskruisenlaan  135  box2 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6781876,"1120",3,100,,289000,1/5/2017,,,"House","Rue  des  fanes  239 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6777529,"1120",2,90,,195000,1/3/2017,199,4,"Apartment","1120    NEDEROVERHEEMBEEK  BRU ","Neder-Over-Heembeek"
6777022,"1120",3,195,130,390000,1/3/2017,349,4,"House","Rue  Warandeveld  19 1120    NederOverHembeek ","Neder-Over-Heembeek"
6774430,"1120",3,105,,195000,12/30/2016,1910,25,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6766885,"1120",4,160,160,229000,12/23/2016,1324,5,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6760040,"1120",2,130,,270000,12/17/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6758321,"1120",3,125,,295000,12/16/2016,180,0,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6756015,"1120",3,155,,399000,12/14/2016,55,0,"House","1120    NederOverHembeek ","Neder-Over-Heembeek"
6756014,"1120",3,119,,276000,12/14/2016,73,0,"Apartment","1120    NederOverHembeek ","Neder-Over-Heembeek"
6756012,"1120",3,133,,306000,12/14/2016,29,0,"Apartment","1120    NederOverHembeek ","Neder-Over-Heembeek"
6756011,"1120",2,99,,239000,12/14/2016,46,1,"Apartment","1120    NederOverHembeek ","Neder-Over-Heembeek"
6755723,"1120",2,95,,199000,12/14/2016,477,7,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6753742,"1120",3,151,,280000,12/13/2016,225,4,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6742215,"1120",2,110,,285000,12/6/2016,54,0,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6740421,"1120",4,225,180,305000,12/4/2016,955,12,"House","Rue  des  Bons  Enfants  30 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6729478,"1120",3,111,,239000,11/28/2016,146,1,"Apartment","Rue  des  Fanes  20 1120    NEDEROVERHEMBEEK ","Neder-Over-Heembeek"
6728128,"1120",2,95,,225000,11/27/2016,183,2,"Apartment","Avenue  des  Croix  de  Guerre  125 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6721944,"1120",2,150,,295000,11/23/2016,79,0,"Apartment","Rue   Franois  Vekrmans  110 1120    Bruxelles  12 ","Neder-Over-Heembeek"
6719568,"1120",3,194,292,395000,11/22/2016,194,2,"House","rue   des  chers  38 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6714411,"1120",2,90,,249000,11/18/2016,49,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6713374,"1120",2,86,,199900,11/17/2016,,,"Apartment","Rue  de  Beyseghem  148304 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6713370,"1120",2,86,,199900,11/17/2016,,,"Apartment","Rue  de  Beyseghem  148204 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6713369,"1120",3,94,,244900,11/17/2016,,,"Apartment","Rue  de  Beyseghem  15226 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6713368,"1120",2,88,,199900,11/17/2016,,,"Apartment","Rue  de  Beyseghem  148103 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6713365,"1120",3,94,,244900,11/17/2016,,,"Apartment","Rue  de  Beyseghem  15216 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6709216,"1120",2,105,,259500,11/15/2016,54,1,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6709214,"1120",2,86,,199900,11/15/2016,55,1,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6709024,"1120",3,150,,355000,11/15/2016,295,3,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6708646,"1120",2,88,,199900,11/15/2016,73,3,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6708091,"1120",2,109,,169000,11/15/2016,577,15,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6703155,"1120",3,114,,295000,11/10/2016,76,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
