ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6762922,1020,4,133.0,58.0,315000,12/20/2016,,,Building,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6759138,1020,4,300.0,700.0,645000,12/16/2016,210.0,1.0,House,1020     LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6758522,1020,3,400.0,1200.0,595000,12/16/2016,198.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6755534,1020,3,250.0,100.0,330000,12/14/2016,452.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6750237,1020,3,190.0,,299000,12/10/2016,1346.0,19.0,Apartment,1020    Bruxelles2 ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6748568,1020,3,280.0,330.0,520000,12/9/2016,,,House,Av  Jean  de  Bologne  75 1020    Laeken ,Laeken,"Avenue Jean de Bologne 75, 1020 Bruxelles, Belgium",50.8979418,4.3614522
6747671,1020,5,302.0,,495000,12/9/2016,,,Building,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6745289,1020,5,,,352500,12/7/2016,133.0,0.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6743537,1020,3,95.0,,220000,12/6/2016,150.0,1.0,Apartment,Forumlaan  11 1020    Laeken ,Laeken,"Forumlaan 11, 1020 Brussel, Belgium",50.8994252,4.3534847
6741650,1020,4,283.0,,765000,12/5/2016,55.0,0.0,House,Bonenkruidlaan    Avenue   de  la  Sarriette  7072 1020    Laeken ,Laeken,,,
6740460,1020,3,128.0,,240000,12/4/2016,805.0,6.0,Apartment,Avenue  JeanBaptiste  Depaire  73 1020    Laeken ,Laeken,"Avenue Jean-Baptiste Depaire 73, 1020 Bruxelles, Belgium",50.8909806,4.3325007
6732835,1020,3,145.0,,285000,11/30/2016,1068.0,17.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6730754,1020,3,,,239000,11/29/2016,96.0,2.0,Apartment,Rue  Steyls  77 1020    Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
6729653,1020,4,20.0,90.0,280000,11/28/2016,312.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6729516,1020,3,110.0,,255000,11/28/2016,146.0,4.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6729483,1020,3,130.0,,275000,11/28/2016,95.0,1.0,Apartment,1020     Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6729481,1020,3,190.0,,299000,11/28/2016,1611.0,18.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6729359,1020,3,210.0,,215000,11/28/2016,146.0,1.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
